title,installs,minInstalls,realInstalls,score,ratings,free,genre,contentRating,released,lastUpdatedOn
"Concepts: Sketch, Note, Draw","1,000,000+",1000000,4514867,4.4,17580,True,Art & Design,Everyone,"Nov 16, 2018","Apr 11, 2024"
Infinite Design,"10,000,000+",10000000,13989155,3.2,73580,True,Art & Design,Everyone,"Sep 19, 2011","Dec 23, 2021"
Adobe Express: Graphic Design,"10,000,000+",10000000,32634484,4.6,274297,True,Art & Design,Everyone,"Jun 18, 2018","Mar 4, 2024"
ArtFlow: Paint Draw Sketchbook,"5,000,000+",5000000,5517767,3.5,33604,True,Art & Design,Everyone,"May 23, 2013","Dec 26, 2023"
"Drawing Apps: Draw, Sketch Pad","5,000,000+",5000000,8867088,4.3,8433,True,Art & Design,Everyone,"Sep 5, 2022","Jan 4, 2024"
PaperColor,"10,000,000+",10000000,44651981,4.4,212773,True,Art & Design,Everyone,"Jun 17, 2016","Mar 15, 2024"
Learn Drawing,"1,000,000+",1000000,1913043,4.1,7888,True,Art & Design,Everyone,"Jan 9, 2019","Mar 13, 2024"
Desygner: Graphic Design Maker,"5,000,000+",5000000,7872844,4.8,91144,True,Art & Design,Everyone,"Dec 10, 2015","Mar 21, 2024"
Brother Artspira,"100,000+",100000,119547,3.8,673,True,Art & Design,Everyone,"Sep 22, 2022","Mar 25, 2024"
Design Studio: DIY Craft Space,"50,000+",50000,78028,4.4,233,True,Art & Design,Everyone,"Oct 21, 2022","Jan 29, 2024"
"Drawing Desk: Draw, Paint Art","10,000,000+",10000000,20383879,4.3,115099,True,Art & Design,Everyone,"Aug 8, 2014","Feb 28, 2024"
Sketchbook,"100,000,000+",100000000,141744541,3.9,666287,True,Art & Design,Everyone,"Oct 8, 2014","Mar 1, 2024"
Logo Maker,"1,000,000+",1000000,1727470,4.5,17734,True,Photography,Everyone,"Mar 13, 2018","Mar 21, 2024"
Pixel Art - Color by Number,"100,000,000+",100000000,193439820,4.4,2344083,True,Puzzle,Everyone,"Oct 16, 2017","Mar 15, 2024"
Infinite Painter,"10,000,000+",10000000,25525245,4.5,161438,True,Art & Design,Everyone,"Apr 2, 2012","Jan 27, 2024"
Craft Space Cut Machine Design,"10,000+",10000,41537,3.7,103,True,Art & Design,Everyone,"Sep 15, 2023","Mar 28, 2024"
Clip Studio Paint,"5,000,000+",5000000,7809352,3.4,17054,True,Art & Design,Everyone,"Dec 4, 2020","Mar 8, 2024"
gowithYamo: The Art Guide,"100,000+",100000,120517,0.0,0,True,Art & Design,Everyone,"Sep 20, 2018","Aug 30, 2023"
"Adobe Capture: Illustrator,Ps","5,000,000+",5000000,7353088,4.6,44318,True,Art & Design,Everyone,"Oct 4, 2015","Nov 29, 2023"
Redecor - Home Design Game,"10,000,000+",10000000,19019598,4.3,284591,True,Simulation,Everyone,"Apr 10, 2020","Apr 11, 2024"
ARTA: AI Art & Photo Generator,"1,000,000+",1000000,2640400,4.0,22235,True,Art & Design,Everyone,"Sep 15, 2022","Apr 1, 2024"
FlipaClip: Create 2D Animation,"50,000,000+",50000000,57821629,4.2,659295,True,Art & Design,Everyone,"Apr 2, 2012","Mar 24, 2024"
PENUP – Drawing-sharing SNS,"100,000,000+",100000000,176812801,4.5,191936,True,Art & Design,Teen,"Sep 7, 2013","Mar 7, 2024"
Pixilart - Make Pixel Art,"1,000,000+",1000000,1017568,4.0,5223,True,Art & Design,Teen,"Nov 5, 2018","Jan 18, 2024"
ARTSTREAM - Art on TV,"1,000+",1000,1682,0.0,0,True,Art & Design,Mature 17+,"Jan 9, 2023","Jul 24, 2023"
VistaCreate: Graphic Design,"1,000,000+",1000000,3899412,4.4,40469,True,Art & Design,Teen,"Oct 24, 2019","Feb 27, 2024"
Zen Color - Color By Number,"5,000,000+",5000000,8232693,4.8,74308,True,Board,Everyone,"Mar 26, 2021","Apr 3, 2024"
Spiro. Little Big Tools,"100,000+",100000,303789,4.3,1226,True,Art & Design,Everyone,"Feb 5, 2018","Mar 15, 2023"
Star Art: Drawing & Relaxing,"5,000,000+",5000000,6918253,4.5,47492,True,Puzzle,Everyone,"Jan 29, 2021","Feb 2, 2024"
ImagineArt : AI Art Generator,"10,000,000+",10000000,13931145,3.7,104742,True,Art & Design,Teen,"Nov 25, 2022","Apr 4, 2024"
Autolist: Used Car Marketplace,"5,000,000+",5000000,5110858,4.5,30468,True,Auto & Vehicles,Everyone,"Dec 10, 2014","Apr 2, 2024"
Android Auto,"5,000,000,000+",5000000000,6654744730,4.2,4267044,True,Auto & Vehicles,Everyone,"Mar 19, 2015","Apr 4, 2024"
CARFAX - Shop New & Used Cars,"5,000,000+",5000000,5297656,4.3,19999,True,Auto & Vehicles,Everyone,"Jun 29, 2012","Apr 10, 2024"
AutoMate - Car Dashboard,"1,000,000+",1000000,3187005,3.8,12709,True,Auto & Vehicles,Everyone,"Dec 28, 2015","Feb 10, 2021"
AutoZone - Auto Parts & Repair,"5,000,000+",5000000,6705475,4.7,86267,True,Auto & Vehicles,Everyone,"Aug 2, 2010","Feb 20, 2024"
Cars.com – New & Used Vehicles,"10,000,000+",10000000,12103134,4.7,148111,True,Auto & Vehicles,Everyone,"Mar 2, 2011","Mar 29, 2024"
AutoZen-Car Dashboard&Launcher,"500,000+",500000,571830,4.3,2973,True,Auto & Vehicles,Everyone,"Jun 23, 2020","Apr 1, 2024"
CarGurus: Used & New Cars,"5,000,000+",5000000,6956905,4.7,98608,True,Auto & Vehicles,Everyone,"Feb 11, 2014","Apr 8, 2024"
"eBay Motors: Parts, Cars, more","1,000,000+",1000000,1937294,4.0,5689,True,Auto & Vehicles,Teen,"Dec 9, 2019","Apr 10, 2024"
Carvana: Buy/Sell Used Cars,"1,000,000+",1000000,2553880,4.2,36091,True,Auto & Vehicles,Everyone,"Jan 10, 2018","Apr 5, 2024"
1A Auto Diagnostic & Repair,"50,000+",50000,56121,4.1,184,True,Auto & Vehicles,Everyone,"Sep 13, 2022","Apr 9, 2024"
Autotrader: Shop Cars For Sale,"5,000,000+",5000000,5136248,2.7,30061,True,Auto & Vehicles,Everyone,"Oct 6, 2011","Mar 27, 2024"
Simply Auto: Car Maintenance,"500,000+",500000,782037,4.5,21718,True,Auto & Vehicles,Everyone,"Feb 3, 2013","Dec 19, 2023"
Car Launcher,"1,000,000+",1000000,2157121,4.4,68271,True,Auto & Vehicles,Everyone,"Jun 23, 2015","Mar 29, 2024"
Infocar - OBD2 ELM Diagnostic,"5,000,000+",5000000,7129164,3.9,19074,True,Auto & Vehicles,Everyone,"Sep 20, 2018","Mar 31, 2024"
GaragePro Car OBD2 Scanner,"500,000+",500000,944855,3.2,6177,True,Auto & Vehicles,Everyone,"Jul 22, 2016","Apr 12, 2024"
Car & Auto Parts Zone USA,"10,000+",10000,10044,4.5,99,True,Auto & Vehicles,Everyone,"May 15, 2020","Sep 5, 2023"
YouTube Studio,"100,000,000+",100000000,257194327,4.3,1974279,True,Video Players & Editors,Teen,"Jun 26, 2014","Apr 10, 2024"
Advance Auto Parts,"1,000,000+",1000000,1844705,4.7,45885,True,Auto & Vehicles,Everyone,"Mar 31, 2020","Apr 10, 2024"
Google Maps,"10,000,000,000+",10000000000,15259821228,4.0,17781983,True,Travel & Local,Everyone,,"Apr 12, 2024"
Waze Navigation & Live Traffic,"500,000,000+",500000000,516762012,4.4,8695161,True,Maps & Navigation,Everyone,,"Apr 3, 2024"
AGAMA Car Launcher,"1,000,000+",1000000,4461760,4.4,39266,True,Auto & Vehicles,Everyone,"Jul 27, 2017","Jul 24, 2023"
Copart - Online Auto Auctions,"1,000,000+",1000000,4981028,4.7,31305,True,Shopping,Everyone,"Jul 2, 2015","Mar 11, 2024"
CARFAX Car Care App,"1,000,000+",1000000,1386807,4.8,31911,True,Auto & Vehicles,Everyone,"Sep 14, 2012","Feb 8, 2024"
Summit Racing,"100,000+",100000,389253,4.7,5466,True,Shopping,Everyone,"Jun 1, 2018","Mar 14, 2024"
CarMax: Used Cars for Sale,"5,000,000+",5000000,6086863,3.4,33006,True,Auto & Vehicles,Everyone,"Dec 4, 2012","Apr 3, 2024"
Uber - Request a ride,"500,000,000+",500000000,865561478,4.6,13503831,True,Maps & Navigation,Everyone,"Oct 28, 2010","Apr 8, 2024"
myChevrolet,"5,000,000+",5000000,7292371,4.4,205405,True,Lifestyle,Everyone,"Oct 27, 2010","Mar 28, 2024"
Auto Sync for Android/Car Play,"100,000+",100000,459952,4.5,8533,True,Auto & Vehicles,Everyone,"Jul 15, 2023","Feb 27, 2024"
ARI (Auto Repair Software),"100,000+",100000,291814,4.5,1048,True,Auto & Vehicles,Everyone,"Dec 21, 2016","Dec 8, 2023"
BeautyPlus-AI Photo/Video Edit,"100,000,000+",100000000,464290625,4.5,4997560,True,Photography,Everyone,"Jul 14, 2013","Apr 9, 2024"
YouCam Makeup - Selfie Editor,"100,000,000+",100000000,341904118,4.3,4173762,True,Photography,Everyone,"Aug 7, 2014","Mar 31, 2024"
